Rule,Accuracy,#Times_Used,Rule Decision
31,0.55721393,603,1
24,0.625180897,691,1
25,0.664609053,486,1
22,0.442477876,113,1
41,0.63190184,163,1
30,0.744394619,223,0
0,0.563492063,126,0
23,0.413043478,92,0
40,0.791208791,182,1
28,0.764705882,85,1
8,0,13,1
33,0,11,1
38,0,11,1
19,0,7,1
17,0,4,1
35,0,4,1
2,0,3,1
37,0,2,1
12,0,1,1
14,0,1,1
16,1,2,0
7,1,3,0
18,1,3,0
21,1,3,0
26,1,4,0
3,1,6,0
13,1,6,0
5,1,8,0
42,1,10,0
9,1,10,0
20,1,11,0
11,1,12,0
39,1,16,0
27,1,17,0
36,1,19,0
32,1,46,0
10,1,53,0
6,1,89,0
34,1,99,0